#structure	resolution	length	predicted_missing_bps	filtered_missing_bps	unpaired_fraction
6c0f	3.7	1602	90	36	0.0225
7pnz	3.09	951	18	16	0.0168
5mdv	2.97	4638	169	106	0.0229
7sa4	2.55	4724	127	68	0.0144
7zod	2.56	3096	194	108	0.0349
7y41	4.1	3237	108	60	0.0185
6wlu	5.7	231	0	0	0.0
8h1j	3.1	134	4	2	0.0149
7odr	2.9	1489	45	20	0.0134
6qdv	3.3	346	24	8	0.0231
8cah	3.0	1745	66	38	0.0218
8fkx	2.59	2471	120	56	0.0227
7w59	3.6	391	48	6	0.0153
8ova	2.47	5499	394	194	0.0353
7xjg	2.51	216	14	6	0.0278
8fkw	2.5	2498	124	56	0.0224
8pvl	2.19	3356	146	54	0.0161
7v2n	3.6	1394	81	68	0.0488
3j9w	3.9	4675	186	110	0.0235
8flc	2.76	3647	176	64	0.0175
8agw	2.6	3642	140	44	0.0121
7oii	3.0	4648	135	66	0.0142
6o7k	4.2	1622	58	38	0.0234
7o7z	2.4	5984	256	106	0.0177
7way	2.9	175	4	0	0.0
6n8o	3.5	3480	270	164	0.0471
7w0a	3.12	124	0	0	0.0
7nqh	3.5	2651	98	54	0.0204
8wib	3.5	4730	172	92	0.0195
5vt0	3.78	112	8	0	0.0
7ope	3.2	2996	74	28	0.0093
7dvq	2.89	276	22	2	0.0072
6xzb	2.54	4692	187	106	0.0226
7o80	2.9	5922	264	108	0.0182
8om4	2.32	1487	35	16	0.0108
8ip8	2.9	5207	291	138	0.0265
7v9x	2.82	210	8	0	0.0
6pcq	2.6	3015	125	66	0.0219
8d8k	3.13	1538	87	38	0.0247
7zrs	4.8	5310	261	124	0.0234
8hkx	3.14	1491	70	34	0.0228
8cep	2.04	1077	22	8	0.0074
6wd4	3.7	4810	234	136	0.0283
7cpv	3.03	5529	378	188	0.034
8bn3	2.4	5159	314	140	0.0271
7po2	3.09	1057	34	24	0.0227
8qoa	2.0	4549	216	116	0.0255
8buu	2.9	4584	134	68	0.0148
8j3r	2.95	140	13	14	0.1
6gsn	5.75	1873	146	96	0.0513
8glp	1.67	5579	238	112	0.0201
7v9u	3.12	209	10	2	0.0096
6t7i	3.2	5388	246	96	0.0178
6gxp	4.4	4555	228	148	0.0325
7ycg	3.18	405	12	6	0.0148
6om6	3.1	4638	147	82	0.0177
8g6x	2.31	3036	71	34	0.0112
6gqv	4.0	5360	369	200	0.0373
8emm	2.1	4558	130	62	0.0136
6zv6	2.9	1683	56	28	0.0166
8jdl	2.42	5509	267	116	0.0211
6wda	3.8	4810	216	118	0.0245
6ha8	3.5	4610	200	114	0.0247
6ke6	3.4	2007	208	82	0.0409
8b0x	1.55	4448	147	74	0.0166
6p5k	3.1	5766	494	306	0.0531
8ibz	3.04	180	10	8	0.0444
6zxe	3.0	1645	70	32	0.0195
5z58	4.9	382	30	4	0.0105
7o19	2.9	4635	152	68	0.0147
8fkr	2.89	1991	106	56	0.0281
6wdm	3.6	4810	212	118	0.0245
7nsj	3.9	2719	102	56	0.0206
8cd1	3.0	4605	252	182	0.0395
7af5	2.96	456	16	10	0.0219
6s47	3.28	5135	226	94	0.0183
5o2r	3.4	4643	240	156	0.0336
6ypu	2.9	1040	36	18	0.0173
8jdm	2.67	5582	297	134	0.024
6icz	3.0	393	48	4	0.0102
5gaf	4.3	3049	135	72	0.0236
7afh	3.59	456	20	12	0.0263
5k0y	5.8	1881	98	48	0.0255
6spd	3.28	2967	184	130	0.0438
7pkq	4.2	1114	118	82	0.0736
6lqs	3.8	1635	186	78	0.0477
6ny2	3.2	180	2	0	0.0
8ppl	2.65	1855	99	54	0.0291
6p5n	3.2	5768	514	302	0.0524
8hk1	2.7	148	18	10	0.0676
7c7a	2.8	339	70	58	0.1711
